SOL_Japanese_P, SOL_Se_As_A_L_Tagal_F, SEO_Persons, SOL_Greek_M, SOL_Greek_F, SOL_Aus_Indig_Lang_P, SOL_Chin_lang_Tot_P, SOL_Se_As_A_L_Othr_P, SOL_Chin_lang_Tot_M, SOL_Aus_Indig_Lang_M, SOL_Japanese_F, SOL_Se_As_A_L_Tagal_P, SOL_Aus_Indig_Lang_F, SOL_In_Ar_Lang_Punj_P, SOL_Chin_lang_Tot_F, SOL_Se_As_A_L_Tagal_M, SOL_Japanese_M, SA3_NAME11, SOL_Se_As_A_L_Filipino_F, SOL_Arabic_M, SOL_Se_As_A_L_Indon_F, SOL_Se_As_A_L_Othr_F, SOL_Arabic_P, SOL_Se_As_A_L_Filipino_P, SOL_Arabic_F, SOL_Se_As_A_L_Filipino_M, SOL_Russian_M, SOL_Russian_P, SOL_Se_As_A_L_Othr_M, SOL_Se_As_A_L_Indon_M, SOL_Se_As_A_L_Indon_P, SOL_Chin_lang_Mand_F, SOL_Russian_F, SOL_Greek_P, SOL_Chin_lang_Other_F, Language_spoken_home_ns_M, SEO_Males, SOL_Ir_La_Pe_excl_Da_P, SOL_Ir_La_Pe_excl_Da_M, SOL_Ir_La_Pe_excl_Da_F, SOL_Tamil_F, Language_spoken_home_ns_F, SOL_French_M, SOL_Maltese_M, SOL_Dutch_M, SOL_Chin_lang_Mand_P, SOL_Maltese_P, SOL_Dutch_F, SOL_Irani_Lan_Othr_F, SOL_French_F, SOL_Chin_lang_Mand_M, SOL_Italian_F, SOL_Chin_lang_Other_M, SOL_Maltese_F, SOL_French_P, SOL_Irani_Lan_Othr_M, SOL_Dutch_P, SOL_Chin_lang_Other_P, SOL_Italian_M, SOL_Other_P, SOL_Irani_Lan_Othr_P, SOL_Ir_Lang_Dari_F, SOL_Italian_P, SOL_In_Ar_Lang_Punj_M, SOL_Portuguese_F, SOL_In_Ar_Lang_Punj_F, SOL_Ir_Lang_Dari_M, SOL_Ir_Lang_Dari_P, SOL_Khmer_F, SOL_Tamil_P, SOL_In_Ar_Lang_Tot_P, SOL_Tamil_M, SOL_In_Ar_Lang_Othr_F, SOL_In_Ar_Lang_Tot_M, SOL_Portuguese_P, SOL_Khmer_P, SOL_Other_F, SOL_In_Ar_Lang_Othr_M, SOL_Khmer_M, SOL_Other_M, SOL_In_Ar_Lang_Tot_F, SOL_In_Ar_Lang_Othr_P, SOL_Portuguese_M, SOL_Macedonian_F, SOL_Hungarian_P, Total_F, SOL_Serbian_P, SOL_Spanish_M, SOL_Turkish_F, SOL_Serbian_M, SOL_Spanish_P, SOL_Serbian_F, SOL_Se_As_A_L_Tot_M, SOL_Se_As_A_L_Tot_F, SOL_Spanish_F, SOL_In_Ar_Lang_Beng_M, SOL_In_Ar_Lang_Beng_P, SOL_Chin_lang_Cant_P, Total_P, Total_M, SOL_In_Ar_Lang_Beng_F, SOL_Se_As_A_L_Tot_P, SOL_Thai_P, SOL_Thai_M, Language_spoken_home_ns_P, SOL_Chin_lang_Cant_M, SOL_Thai_F, SOL_Croatian_F, SOL_Chin_lang_Cant_F, SOL_Turkish_M, SOL_Assyrian_P, SOL_Assyrian_M, SOL_Turkish_P, SOL_Hungarian_F, SOL_Hungarian_M, SOL_Assyrian_F, SOL_Iran_Lan_Tot_F, SOL_In_Ar_Lang_Urdu_F, SOL_In_Ar_Lang_Sinh_F, SOL_Iran_Lan_Tot_M, SOL_Polish_P, SOL_In_Ar_Lang_Urdu_M, SOL_Iran_Lan_Tot_P, SOL_In_Ar_Lang_Sinh_M, SOL_In_Ar_Lang_Urdu_P, SEO_Females, SA3_MAIN11, SOL_In_Ar_Lang_Sinh_P, SOL_Croatian_M, SOL_Korean_M, SOL_Croatian_P, SOL_Polish_M, SOL_Korean_P, SOL_Tot_M, SOL_German_F, SOL_Tot_P, SOL_Tot_F, SOL_Polish_F, SOL_Vietnamese_F, SOL_Samoan_F, SOL_Vietnamese_P, SOL_German_M, SOL_Korean_F, SOL_Vietnamese_M, SOL_Samoan_M, SOL_In_Ar_Lang_Hind_F, SOL_Samoan_P, SOL_German_P, SOL_In_Ar_Lang_Hind_P, SOL_Macedonian_P, SOL_In_Ar_Lang_Hind_M, SOL_Macedonian_M
243,93,47163,2590,2758,3,2182,156,987,3,145,149,0,314,1195,56,98,"Brunswick - Coburg",85,1739,179,84,3374,122,1635,37,33,79,72,198,377,780,46,5348,83,2202,22690,120,65,55,65,1798,156,94,47,1436,226,38,18,175,656,3833,64,132,331,37,85,147,3092,1392,55,0,6925,196,61,118,3,3,23,162,2624,97,448,1613,125,30,649,657,7,743,1011,1105,64,67,31,40443,119,339,478,60,686,59,363,441,347,107,202,599,78897,38454,95,804,145,46,4000,267,99,115,332,506,97,56,984,15,16,41,73,134,58,105,144,335,178,64,469,24473,"20601",122,101,56,216,57,123,13562,187,27734,14172,87,326,4,602,153,67,276,7,158,11,340,412,125,254,58
108,16,32613,2205,2279,9,1089,37,498,4,65,32,5,231,591,16,43,"Darebin - South",22,369,26,24,706,34,337,12,9,36,13,29,55,333,27,4484,34,1219,15504,78,45,33,31,983,86,18,30,603,50,31,7,91,270,1536,27,32,177,7,61,61,1161,791,14,0,2697,151,38,80,0,0,11,56,1079,25,126,658,76,23,400,169,12,391,421,295,38,194,32,25245,116,146,29,55,328,61,70,88,182,47,77,425,48557,23312,30,158,85,29,2202,201,56,72,224,33,14,5,62,16,16,9,40,10,33,52,66,18,92,42,28,17109,"20602",75,69,17,141,20,31,6589,123,13742,7153,46,320,8,587,86,14,267,5,142,13,209,373,366,231,172
143,58,41498,800,867,3,2147,57,927,3,69,89,0,219,1220,31,74,"Essendon",51,433,76,31,871,79,438,28,28,75,26,56,132,539,47,1667,106,1757,20153,64,33,31,54,1672,94,95,25,937,204,21,3,102,398,1813,91,109,196,3,46,197,1616,2150,6,4,3429,144,27,75,5,9,9,130,1437,76,195,827,44,13,1167,257,4,983,610,452,17,44,37,31534,86,238,152,43,546,43,141,216,308,32,59,1013,60932,29398,27,357,91,29,3429,438,62,172,575,121,18,10,273,16,21,8,38,46,61,41,152,53,79,67,99,21345,"20603",128,142,49,314,61,121,7488,100,16005,8517,91,642,0,1110,73,72,468,5,206,5,173,480,88,274,44
662,106,47430,275,267,9,15495,595,6711,9,368,178,0,132,8784,72,294,"Melbourne City",107,798,1327,329,1372,181,574,74,99,241,266,1174,2501,5625,142,542,655,5826,24142,335,178,157,163,4614,309,61,63,9689,106,47,5,297,4064,578,553,45,606,10,110,1208,622,3151,15,3,1200,82,93,50,9,12,19,401,2177,238,209,1239,195,32,1592,234,13,1559,938,443,102,48,56,46846,151,467,114,73,921,78,1586,1869,454,83,165,4598,93615,46769,82,3455,766,307,10440,2094,459,76,2504,126,10,7,240,29,27,3,165,38,120,197,169,63,362,127,101,23288,"20604",247,72,587,148,77,1341,16801,201,35745,18944,92,688,7,1282,221,754,594,9,439,16,422,1089,107,650,59
322,67,66116,1414,1492,9,2265,87,951,4,185,103,5,170,1314,36,137,"Port Phillip",50,166,261,54,324,84,158,34,608,1407,33,234,495,772,799,2906,95,4025,32638,138,77,61,58,3244,388,34,98,1336,81,100,3,417,564,602,51,47,805,3,198,146,592,2294,6,5,1194,109,100,61,7,12,7,134,1431,76,178,878,176,14,1113,272,7,1181,553,450,76,55,192,46058,212,355,105,110,734,102,337,432,379,37,52,783,91382,45324,15,769,188,74,7269,336,114,123,447,122,10,7,227,114,78,3,69,27,42,87,486,51,156,30,78,33478,"20605",72,88,79,211,202,187,8661,320,17997,9336,284,170,8,288,312,108,118,12,230,20,632,609,125,379,70
531,97,115984,2438,2688,6,13719,116,6247,3,310,148,3,263,7472,51,221,"Boroondara",56,341,365,59,608,90,267,34,106,259,57,279,644,4354,153,5126,524,2989,55762,424,225,199,193,2753,362,17,116,7994,48,118,4,399,3640,1718,417,31,761,12,234,941,1466,2047,16,14,3184,143,63,120,16,30,18,405,3529,212,526,2055,116,27,1057,760,9,990,1474,1286,53,114,231,82685,198,332,83,88,671,110,421,577,339,87,143,4784,159184,76499,56,998,398,143,5742,2190,255,134,2594,81,17,8,164,137,94,9,217,61,265,253,377,103,470,289,164,60222,"20701",554,100,290,234,163,690,17748,337,37458,19710,214,804,16,1512,301,400,708,9,446,25,638,1119,235,673,121
177,66,44460,3559,3729,0,15373,82,7146,0,100,104,0,319,8227,38,77,"Manningham - West",48,787,156,44,1634,71,847,23,46,106,38,132,288,3486,60,7288,457,1246,21880,1103,556,547,151,1308,60,51,49,6469,115,59,12,83,2983,2664,373,64,143,28,108,830,2269,1582,40,8,4933,165,40,154,4,12,15,276,1638,125,121,824,73,20,808,120,5,774,814,241,33,281,129,44419,195,143,129,95,307,100,231,314,164,29,60,8074,85908,41489,31,545,66,22,2554,3790,44,191,4284,132,28,17,261,68,61,11,567,102,152,588,195,120,1155,138,222,22580,"20702",290,182,316,373,74,680,18363,171,38894,20531,121,342,3,632,142,364,290,4,254,7,313,506,542,252,261
278,107,60834,1667,1755,7,14411,100,6559,4,162,161,3,433,7852,54,116,"Whitehorse - West",75,147,299,54,273,121,126,46,59,130,46,280,579,4548,71,3422,583,2000,29274,333,177,156,232,1809,112,21,73,8298,47,89,9,134,3750,885,482,26,246,24,162,1065,733,1511,33,12,1618,269,25,164,10,22,34,447,2534,215,218,1450,53,58,769,267,24,742,1084,485,28,77,137,49374,107,171,30,50,339,57,426,535,168,65,122,5048,94913,45539,57,961,287,126,3809,2327,161,94,2721,25,3,0,55,80,57,3,177,38,292,211,216,95,388,366,133,31560,"20703",658,80,319,174,81,710,14265,226,30270,16005,135,621,3,1137,178,391,516,4,315,7,404,703,148,388,71
371,34,75684,991,1053,0,1479,17,657,0,190,50,0,77,822,16,181,"Bayside",21,142,38,12,312,27,170,6,545,1196,5,34,72,534,651,2044,66,1931,36262,59,29,30,29,1996,251,8,91,962,30,120,0,301,428,660,48,22,552,0,211,114,546,1346,0,3,1206,48,63,29,0,3,18,64,426,35,18,246,109,28,706,25,10,640,180,43,46,28,144,47974,165,157,79,82,348,83,61,105,191,7,19,403,91814,43840,12,166,85,25,3927,181,60,90,222,80,6,3,159,93,51,3,33,3,32,29,463,10,62,38,13,39422,"20801",70,76,32,166,194,78,5647,421,12203,6556,269,67,3,128,369,46,61,8,86,11,790,204,58,118,30
756,133,90944,3270,3523,6,6884,88,3114,0,427,211,6,534,3770,78,329,"Glen Eira",101,234,258,52,451,165,217,64,2411,5085,36,256,514,2621,2674,6793,263,3001,44244,140,73,67,192,2731,429,16,57,4697,45,75,3,496,2076,1138,257,29,925,3,132,520,1003,6898,6,8,2141,350,92,184,7,15,25,457,4091,265,588,2370,187,54,3451,767,29,3447,1721,1355,95,41,467,70875,361,349,68,167,733,194,434,544,384,100,180,1667,138066,67191,80,978,238,81,5732,781,157,99,886,63,8,0,131,290,177,8,78,53,216,83,1010,76,161,235,129,46700,"20802",451,89,373,188,400,765,19946,392,41390,21444,610,342,9,652,306,392,310,4,600,13,698,1442,82,842,41
